userid,placeid,datetime,categoryid,lat,lng
862,40713,2010-07-16T05:24:31Z,6,61.174444,-149.996389
862,40713,2010-07-07T09:29:28Z,6,61.174444,-149.996389
4906,40713,2009-12-20T14:46:52Z,6,61.174444,-149.996389
862,225964,2010-07-16T01:58:39Z,2,61.1899592667,-149.8704663167
862,215715,2010-07-15T20:26:36Z,4,61.2166268167,-149.8896428333
862,28299,2010-07-15T02:39:55Z,2,61.2175408167,-149.8965835667
862,28299,2010-07-12T04:33:11Z,2,61.2175408167,-149.8965835667
862,378809,2010-07-14T06:03:35Z,6,61.2155041449,-149.8988986015
862,378809,2010-07-14T01:53:56Z,6,61.2155041449,-149.8988986015
862,378809,2010-07-12T23:13:50Z,6,61.2155041449,-149.8988986015
862,378809,2010-07-12T06:05:12Z,6,61.2155041449,-149.8988986015
862,287570,2010-07-14T02:59:53Z,2,61.21361065,-149.8956859667
862,316847,2010-07-13T03:05:40Z,2,61.1738999167,-149.8955529
862,315075,2010-07-13T00:34:11Z,4,61.00630615,-149.6933804333
862,1430836,2010-07-12T20:43:08Z,2,61.2130254507,-149.8713630438
862,857367,2010-07-11T02:27:08Z,6,59.6015695,-151.4143583167
862,857367,2010-07-10T16:19:15Z,6,59.6015695,-151.4143583167
862,857367,2010-07-10T03:41:34Z,6,59.6015695,-151.4143583167
862,1420789,2010-07-10T22:11:24Z,2,59.64116019,-151.548849117
862,1420157,2010-07-10T20:34:58Z,2,59.639459185,-151.540268344
862,1408751,2010-07-09T02:16:05Z,2,60.96012574,-149.10739266
862,1408014,2010-07-08T21:43:33Z,2,60.777334335,-148.68516689
862,448193,2010-07-08T00:38:32Z,4,60.9705233667,-149.0968224
862,448172,2010-07-07T21:30:34Z,6,60.97057475,-149.0998602667
72172,214761,2010-06-22T19:25:40Z,6,58.3588420667,-134.5845764333
72172,1132683,2010-06-22T17:00:44Z,3,58.2993545532,-134.4049530029
72172,1322324,2010-06-22T16:54:53Z,5,58.29903025,-134.403467783
72172,1162320,2010-06-22T14:51:58Z,6,58.27892559,-134.39911985
72172,1127101,2010-06-21T19:11:13Z,6,55.3402241,-131.6463405167
28628,65971,2010-10-03T21:18:56Z,2,61.19038625,-149.8691597333
71429,7540804,2011-06-24T01:49:45Z,2,63.7486067,-148.899024325
71429,1334215,2011-06-23T07:08:49Z,2,63.74515845,-148.89722815
71429,1333764,2011-06-12T06:41:58Z,6,63.7465622833,-148.9005860667
71429,7459056,2011-06-05T07:07:03Z,3,63.86885475,-149.0204929
71429,7459056,2011-06-03T05:42:40Z,3,63.86885475,-149.0204929
