userid,placeid,datetime,categoryid,lat,lng
174066,23524,2010-08-28T13:59:59Z,6,33.4357390069,-112.0011520386
174066,23524,2010-08-28T13:33:18Z,6,33.4357390069,-112.0011520386
130873,23524,2010-03-13T00:52:38Z,6,33.4357390069,-112.0011520386
63683,23524,2010-01-19T01:50:37Z,6,33.4357390069,-112.0011520386
31465,23524,2010-01-12T23:30:35Z,6,33.4357390069,-112.0011520386
31465,23524,2010-01-11T18:59:35Z,6,33.4357390069,-112.0011520386
116,23524,2010-05-23T20:37:50Z,6,33.4357390069,-112.0011520386
116,23524,2010-05-23T13:54:26Z,6,33.4357390069,-112.0011520386
116,23524,2010-05-20T05:26:54Z,6,33.4357390069,-112.0011520386
3848,23524,2010-05-01T05:20:34Z,6,33.4357390069,-112.0011520386
148330,23524,2011-01-27T16:53:20Z,6,33.4357390069,-112.0011520386
29631,23524,2011-03-16T13:33:38Z,6,33.4357390069,-112.0011520386
29631,23524,2010-06-25T03:10:01Z,6,33.4357390069,-112.0011520386
22482,23524,2010-06-03T03:38:42Z,6,33.4357390069,-112.0011520386
130056,23524,2010-10-02T21:37:40Z,6,33.4357390069,-112.0011520386
4047,23524,2010-10-31T15:43:07Z,6,33.4357390069,-112.0011520386
54809,23524,2010-01-02T18:59:17Z,6,33.4357390069,-112.0011520386
93208,23524,2010-04-06T19:23:41Z,6,33.4357390069,-112.0011520386
58654,23524,2010-10-29T13:52:15Z,6,33.4357390069,-112.0011520386
58654,23524,2010-10-23T19:52:42Z,6,33.4357390069,-112.0011520386
58654,23524,2010-10-01T22:35:11Z,6,33.4357390069,-112.0011520386
58654,23524,2010-09-22T18:01:51Z,6,33.4357390069,-112.0011520386
58654,23524,2010-03-12T15:26:38Z,6,33.4357390069,-112.0011520386
194912,23524,2011-05-07T01:35:47Z,6,33.4357390069,-112.0011520386
194912,23524,2011-03-10T00:33:49Z,6,33.4357390069,-112.0011520386
194912,23524,2011-02-25T03:46:38Z,6,33.4357390069,-112.0011520386
