userid,placeid,datetime,categoryid,lat,lng
130873,980525,2011-02-27T18:29:16Z,6,36.3713751097,-94.221432209
2684,6178900,2011-03-27T13:30:21Z,5,36.171981883,-94.5413871
37955,44844,2010-12-30T23:24:22Z,6,34.7284400306,-92.2205471992
6151,44844,2009-11-25T18:01:16Z,6,34.7284400306,-92.2205471992
6151,44844,2009-11-19T10:19:06Z,6,34.7284400306,-92.2205471992
862,44844,2010-11-29T00:17:38Z,6,34.7284400306,-92.2205471992
862,44844,2010-11-22T06:10:07Z,6,34.7284400306,-92.2205471992
862,44844,2010-07-19T23:24:18Z,6,34.7284400306,-92.2205471992
862,44844,2010-07-18T04:32:08Z,6,34.7284400306,-92.2205471992
862,44844,2010-01-11T16:13:56Z,6,34.7284400306,-92.2205471992
862,44844,2009-11-10T04:58:00Z,6,34.7284400306,-92.2205471992
862,44844,2009-11-06T23:16:54Z,6,34.7284400306,-92.2205471992
862,44844,2009-11-01T19:50:52Z,6,34.7284400306,-92.2205471992
233551,44844,2011-01-20T10:35:54Z,6,34.7284400306,-92.2205471992
261341,44844,2010-07-25T19:28:08Z,6,34.7284400306,-92.2205471992
261341,44844,2010-06-08T22:00:17Z,6,34.7284400306,-92.2205471992
261341,44844,2010-06-04T19:16:39Z,6,34.7284400306,-92.2205471992
116721,44844,2010-06-11T21:12:30Z,6,34.7284400306,-92.2205471992
330,44844,2010-07-04T12:56:11Z,6,34.7284400306,-92.2205471992
75937,44844,2010-09-22T01:48:19Z,6,34.7284400306,-92.2205471992
75937,44844,2010-09-20T11:26:35Z,6,34.7284400306,-92.2205471992
75937,44844,2010-08-13T01:44:14Z,6,34.7284400306,-92.2205471992
75937,44844,2010-08-10T14:02:35Z,6,34.7284400306,-92.2205471992
75937,44844,2010-05-14T01:25:50Z,6,34.7284400306,-92.2205471992
75937,44844,2010-05-11T18:49:34Z,6,34.7284400306,-92.2205471992
75937,44844,2010-01-21T00:27:59Z,6,34.7284400306,-92.2205471992
353758,44844,2010-08-10T15:31:46Z,6,34.7284400306,-92.2205471992
353758,44844,2010-08-05T20:23:28Z,6,34.7284400306,-92.2205471992
353758,44844,2010-08-02T14:48:14Z,6,34.7284400306,-92.2205471992
353758,44844,2010-07-30T00:19:06Z,6,34.7284400306,-92.2205471992
353758,44844,2010-07-27T13:49:05Z,6,34.7284400306,-92.2205471992
353758,44844,2010-07-15T22:14:56Z,6,34.7284400306,-92.2205471992
7310,44844,2010-12-17T00:26:19Z,6,34.7284400306,-92.2205471992
34220,44844,2010-11-09T01:34:13Z,6,34.7284400306,-92.2205471992
34220,44844,2010-03-11T04:26:49Z,6,34.7284400306,-92.2205471992
34220,44844,2010-03-08T15:16:57Z,6,34.7284400306,-92.2205471992
47367,44844,2011-06-08T10:49:18Z,6,34.7284400306,-92.2205471992
47367,44844,2011-05-27T21:36:14Z,6,34.7284400306,-92.2205471992
47367,44844,2011-04-20T19:58:34Z,6,34.7284400306,-92.2205471992
47367,44844,2010-04-29T16:57:00Z,6,34.7284400306,-92.2205471992
47367,44844,2010-04-27T17:16:01Z,6,34.7284400306,-92.2205471992
323390,44844,2010-07-06T16:25:47Z,6,34.7284400306,-92.2205471992
86035,44844,2010-06-21T21:05:52Z,6,34.7284400306,-92.2205471992
2971,44844,2010-06-22T23:43:27Z,6,34.7284400306,-92.2205471992
2971,44844,2010-06-22T14:59:26Z,6,34.7284400306,-92.2205471992
73156,44844,2010-10-19T14:35:08Z,6,34.7284400306,-92.2205471992
73156,44844,2010-01-09T11:15:59Z,6,34.7284400306,-92.2205471992
28044,44844,2010-08-11T17:58:00Z,6,34.7284400306,-92.2205471992
