userid,placeid,datetime,lat,lng,categoryid,name,geometry,state
2958,178258,2009-12-23T23:02:43Z,18.3324167786,-64.922440052,3,Nightlife,POINT (-64.922440052 18.3324167786),United States Virgin Islands
31918,169688,2010-06-28T18:46:22Z,18.3345249206,-64.9718892574,6,Travel,POINT (-64.9718892574 18.3345249206),United States Virgin Islands
31918,904641,2010-06-21T14:07:22Z,18.33949875,-64.93708908,6,Travel,POINT (-64.93708908 18.33949875),United States Virgin Islands
102135,904641,2011-06-07T15:39:16Z,18.33949875,-64.93708908,6,Travel,POINT (-64.93708908 18.33949875),United States Virgin Islands
31918,831788,2010-06-21T13:18:30Z,18.34137678,-64.93241834,2,Food,POINT (-64.93241834 18.34137678),United States Virgin Islands
31918,341149,2010-06-20T22:07:30Z,18.34054275,-64.9332338833,2,Food,POINT (-64.9332338833 18.34054275),United States Virgin Islands
31918,1302979,2010-06-19T00:38:58Z,18.3396086,-64.95968294,6,Travel,POINT (-64.95968294 18.3396086),United States Virgin Islands
102135,1428884,2011-06-07T19:21:14Z,18.335085017,-64.850681983,4,Outdoors,POINT (-64.850681983 18.335085017),United States Virgin Islands
5547,93310,2010-06-16T14:11:46Z,18.3316523255,-64.924345173,6,Travel,POINT (-64.924345173 18.3316523255),United States Virgin Islands
167980,93310,2010-07-28T14:46:42Z,18.3316523255,-64.924345173,6,Travel,POINT (-64.924345173 18.3316523255),United States Virgin Islands
