userid,placeid,local_datetime,categoryid,latitude,longitude,country_name,state,category
1338,16772,2010-03-22T15:21:29Z,6,30.6811779503,-88.2442259789,United States,Alabama,Travel
1338,16772,2010-03-19T23:11:53Z,6,30.6811779503,-88.2442259789,United States,Alabama,Travel
162577,16772,2010-03-22T11:53:35Z,6,30.6811779503,-88.2442259789,United States,Alabama,Travel
162577,16772,2010-03-21T21:20:12Z,6,30.6811779503,-88.2442259789,United States,Alabama,Travel
174066,16772,2010-03-22T12:03:25Z,6,30.6811779503,-88.2442259789,United States,Alabama,Travel
174066,16772,2010-03-21T21:16:04Z,6,30.6811779503,-88.2442259789,United States,Alabama,Travel
1338,742892,2010-03-22T02:42:24Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,742892,2010-03-21T23:19:43Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,742892,2010-03-21T19:01:24Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,742892,2010-03-21T04:10:10Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,742892,2010-03-20T14:21:48Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,742892,2010-03-20T00:37:53Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,742892,2010-03-19T20:29:22Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,742892,2010-03-19T15:00:53Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
162577,742892,2010-03-22T02:10:06Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
162577,742892,2010-03-21T22:58:43Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
162577,742892,2010-03-21T19:02:43Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
162577,742892,2010-03-21T14:17:33Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
162577,742892,2010-03-19T13:40:30Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
174066,742892,2010-03-22T02:09:06Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
174066,742892,2010-03-21T22:46:24Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
174066,742892,2010-03-21T19:13:09Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
174066,742892,2010-03-21T14:17:59Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
174066,742892,2010-03-20T16:09:52Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
174066,742892,2010-03-19T15:20:54Z,6,30.6828859333,-88.2043555833,United States,Alabama,Travel
1338,767103,2010-03-22T00:08:38Z,2,30.67603302,-88.1358108521,United States,Alabama,Food
162577,767103,2010-03-22T00:09:13Z,2,30.67603302,-88.1358108521,United States,Alabama,Food
174066,767103,2010-03-22T00:10:05Z,2,30.67603302,-88.1358108521,United States,Alabama,Food
1338,670243,2010-03-21T20:34:12Z,6,30.6824750667,-88.2027296833,United States,Alabama,Travel
162577,670243,2010-03-21T19:19:51Z,6,30.6824750667,-88.2027296833,United States,Alabama,Travel
174066,670243,2010-03-21T19:23:19Z,6,30.6824750667,-88.2027296833,United States,Alabama,Travel
